Arival Time     Service Time    Customer Type
08:30           12              Customer 1
08:36           06              Customer 3
08:44           06              Customer 1
08:54           04              Customer 2
09:00           11              Customer 2
09:10           01              Customer 3
09:20           05              Customer 3
09:28           08              Customer 3
09:37           09              Customer 1
09:42           02              Customer 3
09:49           07              Customer 2
09:56           15              Customer 3
10:04           06              Customer 2
10:13           10              Customer 3
10:18           13              Customer 1
10:25           02              Customer 1
10:35           09              Customer 3
10:41           05              Customer 2
10:47           04              Customer 3
10:57           02              Customer 1
11:04           13              Customer 3
11:11           13              Customer 1
11:17           12              Customer 1
11:24           13              Customer 2
11:34           02              Customer 3
11:43           14              Customer 2
11:50           06              Customer 3
11:59           06              Customer 1
12:08           12              Customer 1
12:17           14              Customer 1
12:23           05              Customer 3
12:33           01              Customer 1
12:41           06              Customer 2
12:46           03              Customer 3
12:55           01              Customer 3
13:02           06              Customer 2
13:07           14              Customer 1
13:13           04              Customer 1
13:20           11              Customer 3
13:28           08              Customer 2
13:34           13              Customer 3
13:40           09              Customer 3
13:48           02              Customer 2
13:58           02              Customer 3
14:06           15              Customer 1
14:11           11              Customer 3
14:17           01              Customer 1
14:27           08              Customer 2
14:35           07              Customer 2
14:42           04              Customer 1
14:48           08              Customer 2
14:54           12              Customer 3
15:00           02              Customer 3
15:09           03              Customer 3
15:14           08              Customer 1
15:20           14              Customer 3
15:28           12              Customer 2
15:37           15              Customer 3
15:43           04              Customer 3
15:50           02              Customer 3
15:59           14              Customer 2
16:09           15              Customer 2
16:18           13              Customer 1
16:24           10              Customer 1
16:32           10              Customer 2
16:42           06              Customer 2
16:48           10              Customer 1
16:53           01              Customer 3
17:00           05              Customer 1
17:05           11              Customer 1
17:10           03              Customer 1
17:16           11              Customer 3
17:26           06              Customer 1
17:34           02              Customer 3
17:44           03              Customer 3
17:50           11              Customer 3
